stage,date,distance,origin,destination,type,winner,winner_country,year
5,1933-07-01,293,Belfort,Evian,stage with mountain(s),Léon Louyet,BEL,1933
6,1933-07-03,207,Evian,Aix-les-Bains,stage with mountain(s),Learco Guerra,ITA,1933
7,1933-07-04,229,Aix-les-Bains,Grenoble,stage with mountain(s),Learco Guerra,ITA,1933
8,1933-07-05,102,Grenoble,Gap,stage with mountain(s),Georges Speicher,FRA,1933
9,1933-07-06,227,Gap,Digne,stage with mountain(s),Georges Speicher,FRA,1933
10,1933-07-07,156,Digne,Nice,plain stage,Fernand Cornez,FRA,1933
11,1933-07-09,128,Nice,Cannes,stage with mountain(s),Maurice Archambaud,FRA,1933
12,1933-07-10,208,Cannes,Marseille,plain stage,Georges Speicher,FRA,1933
13,1933-07-11,168,Marseille,Montpellier,plain stage,André Leducq,FRA,1933
14,1933-07-12,166,Montpellier,Perpignan,plain stage,André Leducq,FRA,1933
15,1933-07-14,158,Perpignan,Ax-les-Thermes,stage with mountain(s),Jean Aerts,BEL,1933
16,1933-07-15,165,Ax-les-Thermes,Luchon,stage with mountain(s),Léon Louyet,BEL,1933
17,1933-07-16,91,Luchon,Tarbes,stage with mountain(s),Jean Aerts,BEL,1933
18,1933-07-17,185,Tarbes,Pau,stage with mountain(s),Learco Guerra,ITA,1933
19,1933-07-19,233,Pau,Bordeaux,plain stage,Jean Aerts,BEL,1933
20,1933-07-20,183,Bordeaux,La Rochelle,plain stage,Jean Aerts,BEL,1933
21,1933-07-21,266,La Rochelle,Rennes,plain stage,Jean Aerts,BEL,1933
22,1933-07-22,169,Rennes,Caen,plain stage,René Le Grevès,FRA,1933
23,1933-07-23,222,Caen,Paris,plain stage,Learco Guerra,ITA,1933
1,1932-07-06,208,Paris,Caen,plain stage,Jean Aerts,BEL,1932
2,1932-07-07,300,Caen,Nantes,plain stage,Kurt Stöpel,GER,1932
3,1932-07-09,387,Nantes,Bordeaux,plain stage,André Leducq,FRA,1932
4,1932-07-11,206,Bordeaux,Pau,plain stage,Georges Ronsse,BEL,1932
5,1932-07-12,229,Pau,Luchon,stage with mountain(s),Antonio Pesenti,ITA,1932
6,1932-07-14,322,Luchon,Perpignan,stage with mountain(s),Frans Bonduel,BEL,1932
7,1932-07-16,168,Perpignan,Montpellier,plain stage,Frans Bonduel,BEL,1932
8,1932-07-17,206,Montpellier,Marseille,plain stage,Michele Orecchia,ITA,1932
9,1932-07-18,191,Marseille,Cannes,plain stage,Rafaele di Paco,ITA,1932
10,1932-07-19,132,Cannes,Nice,stage with mountain(s),Francesco Camusso,ITA,1932
11,1932-07-21,233,Nice,Gap,stage with mountain(s),André Leducq,FRA,1932
12,1932-07-22,102,Gap,Grenoble,stage with mountain(s),Roger Lapébie,FRA,1932
13,1932-07-23,230,Grenoble,Aix-les-Bains,stage with mountain(s),André Leducq,FRA,1932
14,1932-07-24,204,Aix-les-Bains,Evian,stage with mountain(s),Rafaele di Paco,ITA,1932
15,1932-07-25,291,Evian,Belfort,stage with mountain(s),André Leducq,FRA,1932
16,1932-07-26,145,Belfort,Strasbourg,plain stage,Gérard Loncke,BEL,1932
17,1932-07-27,165,Strasbourg,Metz,plain stage,Rafaele di Paco,ITA,1932
18,1932-07-28,159,Metz,Charleville,plain stage,Rafaele di Paco,ITA,1932
19,1932-07-29,271,Charleville,Malo-les-Bains,plain stage,Gaston Rebry,BEL,1932
20,1932-07-30,212,Malo-les-Bains,Amiens,plain stage,André Leducq,FRA,1932
21,1932-07-31,159,Amiens,Paris,plain stage,André Leducq,FRA,1932
1,1931-06-30,208,Paris,Caen,plain stage,Alfred Haemerlinck,BEL,1931
2,1931-07-01,212,Caen,Dinan,plain stage,Max Bulla,AUT,1931
3,1931-07-02,206,Dinan,Brest,plain stage,Fabio Battesini,ITA,1931
4,1931-07-03,211,Brest,Vannes,plain stage,André Godinat,FRA,1931
5,1931-07-04,202,Vannes,Les Sables d'Olonne,plain stage,Charles Pélissier,FRA,1931
6,1931-07-05,338,Les Sables d'Olonne,Bordeaux,plain stage,Alfred Haemerlinck,BEL,1931
7,1931-07-06,180,Bordeaux,Bayonne,plain stage,Gérard Loncke,BEL,1931
8,1931-07-07,106,Bayonne,Pau,plain stage,Charles Pélissier,FRA,1931
9,1931-07-08,231,Pau,Luchon,stage with mountain(s),Antonin Magne,FRA,1931
10,1931-07-10,322,Luchon,Perpignan,stage with mountain(s),Rafaele di Paco,ITA,1931
11,1931-07-12,164,Perpignan,Montpellier,plain stage,Rafaele di Paco,ITA,1931
12,1931-07-13,207,Montpellier,Marseille,plain stage,Max Bulla,AUT,1931
13,1931-07-14,181,Marseille,Cannes,plain stage,Charles Pélissier,FRA,1931
14,1931-07-15,132,Cannes,Nice,stage with mountain(s),Eugenio Gestri,ITA,1931
15,1931-07-17,233,Nice,Gap,stage with mountain(s),Jef Demuysere,BEL,1931
16,1931-07-18,102,Gap,Grenoble,stage with mountain(s),Charles Pélissier,FRA,1931
17,1931-07-19,230,Grenoble,Aix-les-Bains,stage with mountain(s),Max Bulla,AUT,1931
18,1931-07-20,204,Aix-les-Bains,Evian,stage with mountain(s),Jef Demuysere,BEL,1931
19,1931-07-21,282,Evian,Belfort,stage with mountain(s),Rafaele di Paco,ITA,1931
20,1931-07-22,209,Belfort,Colmar,stage with mountain(s),André Leducq,FRA,1931
21,1931-07-23,192,Colmar,Metz,plain stage,Rafaele di Paco,ITA,1931
22,1931-07-24,159,Metz,Charleville,plain stage,Raffaele di Paco,ITA,1931
23,1931-07-25,271,Charleville,Malo-les-Bains,plain stage,Gaston Rebry,BEL,1931
24,1931-07-26,313,Malo-les-Bains,Paris,plain stage,Charles Pélissier,FRA,1931
1,1930-07-02,206,Paris,Caen,plain stage,Charles Pélissier,FRA,1930
2,1930-07-03,203,Caen,Dinan,plain stage,Learco Guerra,ITA,1930
3,1930-07-04,206,Dinan,Brest,plain stage,Charles Pélissier,FRA,1930
4,1930-07-05,210,Brest,Vannes,plain stage,Omer Taverne,BEL,1930
5,1930-07-06,202,Vannes,Les Sables d'Olonne,plain stage,André Leducq,FRA,1930
6,1930-07-07,285,Les Sables d'Olonne,Bordeaux,plain stage,Jean Aerts,BEL,1930
7,1930-07-08,222,Bordeaux,Hendaye,plain stage,Jules Merviel,FRA,1930
8,1930-07-09,146,Hendaye,Pau,plain stage,Alfredo Binda,ITA,1930
9,1930-07-10,231,Pau,Luchon,stage with mountain(s),Alfredo Binda,ITA,1930
10,1930-07-12,322,Luchon,Perpignan,stage with mountain(s),Charles Pélissier,FRA,1930
11,1930-07-14,164,Perpignan,Montpellier,plain stage,Charles Pélissier,FRA,1930
12,1930-07-15,209,Montpellier,Marseille,plain stage,Antonin Magne,FRA,1930
13,1930-07-16,181,Marseille,Cannes,plain stage,Learco Guerra,ITA,1930
14,1930-07-17,132,Cannes,Nice,stage with mountain(s),Louis Peglion,FRA,1930
15,1930-07-19,333,Nice,Grenoble,stage with mountain(s),Learco Guerra,ITA,1930
16,1930-07-21,331,Grenoble,Evian,stage with mountain(s),André Leducq,FRA,1930
17,1930-07-23,282,Evian,Belfort,stage with mountain(s),Frans Bonduel,BEL,1930
18,1930-07-24,223,Belfort,Metz,plain stage,Charles Pélissier,FRA,1930
19,1930-07-25,159,Metz,Charleville,plain stage,Charles Pélissier,FRA,1930
20,1930-07-26,271,Charleville,Malo-les-Bains,plain stage,Charles Pélissier,FRA,1930
21,1930-07-27,300,Malo-les-Bains,Paris,plain stage,Charles Pélissier,FRA,1930
1,1929-06-30,206,Paris,Caen,plain stage,Aimé Dossche,BEL,1929
2,1929-07-01,140,Caen,Cherbourg,plain stage,André Leducq,FRA,1929
3,1929-07-02,199,Cherbourg,Dinan,plain stage,Omer Taverne,BEL,1929
4,1929-07-03,206,Dinan,Brest,plain stage,Louis Delannoy,BEL,1929
5,1929-07-04,208,Brest,Vannes,plain stage,Gustaaf van Slembrouck,BEL,1929
6,1929-07-05,206,Vannes,Les Sables d'Olonne,plain stage,Paul Le Drogo,FRA,1929
7,1929-07-06,285,Les Sables d'Olonne,Bordeaux,plain stage,Nicolas Frantz,LUX,1929
8,1929-07-07,182,Bordeaux,Bayonne,plain stage,Julien Moineau,FRA,1929
9,1929-07-09,363,Bayonne,Luchon,stage with mountain(s),Salvador Cardona,ESP,1929
10,1929-07-11,323,Luchon,Perpignan,stage with mountain(s),Jef Demuysere,BEL,1929
11,1929-07-13,366,Perpignan,Marseille,plain stage,André Leducq,FRA,1929
12,1929-07-15,191,Marseille,Cannes,team time trial,Marcel Bidot,FRA,1929
13,1929-07-16,133,Cannes,Nice,stage with mountain(s),Benoît Fauré,FRA,1929
14,1929-07-18,333,Nice,Grenoble,stage with mountain(s),Gaston Rebry,BEL,1929
15,1929-07-20,329,Grenoble,Evian,stage with mountain(s),Julien Vervaecke,BEL,1929
16,1929-07-22,283,Evian,Belfort,stage with mountain(s),Charles Pélissier,FRA,1929
17,1929-07-23,145,Belfort,Strasbourg,plain stage,André Leducq,FRA,1929
18,1929-07-24,165,Strasbourg,Metz,plain stage,André Leducq,FRA,1929
19,1929-07-25,159,Metz,Charleville,team time trial,Bernard van Rysselberghe,BEL,1929
20,1929-07-26,270,Charleville,Malo-les-Bains,team time trial,Maurice Dewaele,BEL,1929
21,1929-07-27,234,Malo-les-Bains,Dieppe,plain stage,André Leducq,FRA,1929
22,1929-07-28,332,Dieppe,Paris,plain stage,Nicolas Frantz,LUX,1929
1,1928-06-17,207,Paris,Caen,team time trial,Nicolas Frantz,LUX,1928
2,1928-06-18,140,Caen,Cherbourg,team time trial,André Leducq,FRA,1928
3,1928-06-19,199,Cherbourg,Dinan,team time trial,Gaston Rebry,BEL,1928
4,1928-06-20,206,Dinan,Brest,team time trial,Pé Verhaegen,BEL,1928
5,1928-06-21,208,Brest,Vannes,team time trial,Marcel Bidot,FRA,1928
6,1928-06-22,204,Vannes,Les Sables d'Olonne,team time trial,Nicolas Frantz,LUX,1928
7,1928-06-23,285,Les Sables d'Olonne,Bordeaux,team time trial,Victor Fontan,FRA,1928
8,1928-06-24,225,Bordeaux,Hendaye,team time trial,Maurice Dewaele,BEL,1928
9,1928-06-26,387,Hendaye,Luchon,stage with mountain(s),Victor Fontan,FRA,1928
10,1928-06-28,323,Luchon,Perpignan,stage with mountain(s),André Leducq,FRA,1928
11,1928-06-30,363,Perpignan,Marseille,plain stage,André Leducq,FRA,1928
12,1928-07-02,330,Marseille,Nice,stage with mountain(s),Nicolas Frantz,LUX,1928
13,1928-07-04,333,Nice,Grenoble,stage with mountain(s),Antonin Magne,FRA,1928
14,1928-07-06,329,Grenoble,Evian,stage with mountain(s),Julien Moineau,FRA,1928
15,1928-07-08,213,Evian,Pontarlier,team time trial,Pierre Magne,FRA,1928
16,1928-07-09,119,Pontarlier,Belfort,team time trial,André Leducq,FRA,1928
17,1928-07-10,145,Belfort,Strasbourg,team time trial,Joseph Mauclair,FRA,1928
18,1928-07-11,165,Strasbourg,Metz,team time trial,Nicolas Frantz,LUX,1928
19,1928-07-12,159,Metz,Charleville,team time trial,Marcel Huot,FRA,1928
20,1928-07-13,271,Charleville,Malo-les-Bains,team time trial,Maurice Dewaele,BEL,1928
21,1928-07-14,234,Malo-les-Bains,Dieppe,team time trial,Antonin Magne,FRA,1928
22,1928-07-15,331,Dieppe,Paris,plain stage,Nicolas Frantz,LUX,1928
1,1927-06-19,180,Paris,Dieppe,team time trial,Francis Pélissier,FRA,1927
2,1927-06-20,103,Dieppe,Le Havre,team time trial,Maurice Dewaele,BEL,1927
3,1927-06-21,225,Le Havre,Caen,team time trial,Hector Martin,BEL,1927
4,1927-06-22,140,Caen,Cherbourg,team time trial,Camille van de Casteele,BEL,1927
5,1927-06-23,199,Cherbourg,Dinan,team time trial,Ferdinand Le Drogo,FRA,1927
6,1927-06-24,206,Dinan,Brest,team time trial,André Leducq,FRA,1927
7,1927-06-25,207,Brest,Vannes,team time trial,Gustaaf van Slembrouck,BEL,1927
8,1927-06-26,204,Vannes,Les Sables d'Olonne,team time trial,Raymond Decorte,BEL,1927
9,1927-06-27,285,Les Sables d'Olonne,Bordeaux,team time trial,Adelin Benoit,BEL,1927
10,1927-06-28,189,Bordeaux,Bayonne,plain stage,Pé Verhaegen,BEL,1927
11,1927-06-30,326,Bayonne,Luchon,stage with mountain(s),Nicolas Frantz,LUX,1927
12,1927-07-02,323,Luchon,Perpignan,stage with mountain(s),Gustaaf van Slembrouck,BEL,1927
13,1927-07-04,360,Perpignan,Marseille,plain stage,Maurice Dewaele,BEL,1927
14,1927-07-05,120,Marseille,Toulon,team time trial,Antonin Magne,FRA,1927
15,1927-07-06,220,Toulon,Nice,stage with mountain(s),Nicolas Frantz,LUX,1927
16,1927-07-08,275,Nice,Briançon,stage with mountain(s),Julien Vervaecke,BEL,1927
17,1927-07-09,283,Briançon,Evian,stage with mountain(s),Pé Verhaegen,BEL,1927
18,1927-07-11,213,Evian,Pontarlier,team time trial,Adelin Benoit,BEL,1927
19,1927-07-12,119,Pontarlier,Belfort,team time trial,Maurice Geldhof,BEL,1927
20,1927-07-13,145,Belfort,Strasbourg,team time trial,Raymond Decorte,BEL,1927
21,1927-07-14,165,Strasbourg,Metz,team time trial,Nicolas Frantz,LUX,1927
22,1927-07-15,159,Metz,Charleville,team time trial,Hector Martin,BEL,1927
23,1927-07-16,270,Charleville,Dunkerque,team time trial,André Leducq,FRA,1927
24,1927-07-17,344,Dunkerque,Paris,plain stage,André Leducq,FRA,1927
1,1926-06-20,373,Evian,Mülhausen,plain stage,Jules Buysse,BEL,1926
2,1926-06-22,334,Mülhausen,Metz,plain stage,Aimé Dossche,BEL,1926
3,1926-06-24,433,Metz,Dunkerque,plain stage,Gustaaf van Slembrouck,BEL,1926
4,1926-06-26,361,Dunkerque,Le Havre,plain stage,Félix Sellier,BEL,1926
5,1926-06-28,357,Le Havre,Cherbourg,plain stage,Adelin Benoit,BEL,1926
6,1926-06-30,405,Cherbourg,Brest,plain stage,Joseph van Dam,BEL,1926
7,1926-07-02,412,Brest,Les Sables d'Olonne,plain stage,Nicolas Frantz,LUX,1926
8,1926-07-03,285,Les Sables d'Olonne,Bordeaux,plain stage,Joseph van Dam,BEL,1926
9,1926-07-04,189,Bordeaux,Bayonne,plain stage,Nicolas Frantz,LUX,1926
10,1926-07-06,326,Bayonne,Luchon,stage with mountain(s),Lucien Buysse,BEL,1926
11,1926-07-08,323,Luchon,Perpignan,stage with mountain(s),Lucien Buysse,BEL,1926
12,1926-07-10,427,Perpignan,Toulon,plain stage,Nicolas Frantz,LUX,1926
13,1926-07-12,280,Toulon,Nice,plain stage,Nicolas Frantz,LUX,1926
14,1926-07-14,275,Nice,Briançon,stage with mountain(s),Bartolomeo Aimo,ITA,1926
15,1926-07-16,303,Briançon,Evian,stage with mountain(s),Joseph van Dam,BEL,1926
16,1926-07-17,321,Evian,Dijon,plain stage,Camille van de Casteele,BEL,1926
17,1926-07-18,341,Dijon,Paris,plain stage,Aimé Dossche,BEL,1926
1,1925-06-21,340,Paris,Le Havre,plain stage,Ottavio Bottecchia,ITA,1925
2,1925-06-23,371,Le Havre,Cherbourg,plain stage,Romain Bellenger,FRA,1925
3,1925-06-25,405,Cherbourg,Brest,plain stage,Louis Mottiat,BEL,1925
4,1925-06-26,208,Brest,Vannes,plain stage,Nicolas Frantz,LUX,1925
5,1925-06-27,204,Vannes,Les Sables-d'Olonne,plain stage,Nicolas Frantz,LUX,1925
6,1925-06-28,293,Les Sables-d'Olonne,Bordeaux,plain stage,Ottavio Bottecchia,ITA,1925
7,1925-06-29,189,Bordeaux,Bayonne,plain stage,Ottavio Bottecchia,ITA,1925
8,1925-07-01,326,Bayonne,Luchon,stage with mountain(s),Adelin Benoît,BEL,1925
9,1925-07-03,323,Luchon,Perpignan,stage with mountain(s),Nicolas Frantz,LUX,1925
10,1925-07-04,215,Perpignan,Nîmes,plain stage,Theophile Beeckman,BEL,1925
11,1925-07-05,215,Nîmes,Toulon,plain stage,Lucien Buysse,BEL,1925
12,1925-07-07,280,Toulon,Nice,stage with mountain(s),Lucien Buysse,BEL,1925
13,1925-07-09,275,Nice,Briançon,stage with mountain(s),Bartolomeo Aimo,ITA,1925
14,1925-07-11,303,Briançon,Evian,stage with mountain(s),Hector Martin,BEL,1925
15,1925-07-13,373,Evian,Mulhouse,stage with mountain(s),Nicolas Frantz,LUX,1925
16,1925-07-15,334,Mulhouse,Metz,plain stage,Hector Martin,BEL,1925
17,1925-07-17,433,Metz,Dunkerque,plain stage,Hector Martin,BEL,1925
18,1925-07-19,343,Dunkerque,Paris,plain stage,Ottavio Bottecchia,ITA,1925
1,1924-06-22,381,Paris,Le Havre,plain stage,Ottavio Bottecchia,ITA,1924
2,1924-06-24,371,Le Havre,Cherbourg,plain stage,Romain Bellenger,FRA,1924
3,1924-06-26,405,Cherbourg,Brest,plain stage,Philippe Thys  Théophile Beeckman,"c(""BEL"", ""BEL"")",1924
4,1924-06-28,412,Brest,Les Sables-d'Olonne,plain stage,Félix Goethals,FRA,1924
5,1924-06-30,482,Les Sables-d'Olonne,Bayonne,plain stage,Omer Huyse,BEL,1924
6,1924-07-02,326,Bayonne,Luchon,stage with mountain(s),Ottavio Bottecchia,ITA,1924
7,1924-07-04,323,Luchon,Perpignan,stage with mountain(s),Ottavio Bottecchia,ITA,1924
8,1924-07-06,427,Perpignan,Toulon,plain stage,Louis Mottiat,BEL,1924
9,1924-07-08,280,Toulon,Nice,stage with mountain(s),Philippe Thys,BEL,1924
10,1924-07-10,275,Nice,Briançon,stage with mountain(s),Giovanni Brunero,ITA,1924
11,1924-07-12,307,Briançon,Gex,stage with mountain(s),Nicolas Frantz,LUX,1924
12,1924-07-14,360,Gex,Strasbourg,stage with mountain(s),Nicolas Frantz,LUX,1924
13,1924-07-16,300,Strasbourg,Metz,plain stage,Arsène Alancourt,FRA,1924
14,1924-07-18,433,Metz,Dunkerque,plain stage,Romain Bellenger,FRA,1924
15,1924-07-20,343,Dunkerque,Paris,plain stage,Ottavio Bottecchia,ITA,1924
1,1923-06-24,381,Paris,Le Havre,plain stage,Robert Jacquinot,FRA,1923
2,1923-06-26,371,Le Havre,Cherbourg,plain stage,Ottavio Bottecchia,ITA,1923
3,1923-06-28,405,Cherbourg,Brest,plain stage,Henri Pélissier,FRA,1923
4,1923-06-30,412,Brest,Les Sables d'Olonne,plain stage,Albert Dejonghe,BEL,1923
5,1923-07-02,482,Les Sables d'Olonne,Bayonne,plain stage,Robert Jacquinot,FRA,1923
6,1923-07-04,326,Bayonne,Luchon,stage with mountain(s),Jean Alavoine,FRA,1923
7,1923-07-06,323,Luchon,Perpignan,stage with mountain(s),Jean Alavoine,FRA,1923
8,1923-07-08,427,Perpignan,Toulon,plain stage,Lucien Buysse,BEL,1923
9,1923-07-10,281,Toulon,Nice,stage with mountain(s),Jean Alavoine,FRA,1923
10,1923-07-12,275,Nice,Briançon,stage with mountain(s),Henri Pélissier,FRA,1923
11,1923-07-14,260,Briançon,Geneva,stage with mountain(s),Henri Pélissier,FRA,1923
12,1923-07-16,377,Geneva,Strasbourg,plain stage,Joseph Muller,FRA,1923
13,1923-07-18,300,Strasbourg,Metz,plain stage,Romain Bellenger,FRA,1923
14,1923-07-20,433,Metz,Dunkerque,plain stage,Félix Goethals,FRA,1923
15,1923-07-22,343,Dunkerque,Paris,plain stage,Félix Goethals,FRA,1923
1,1922-06-25,388,Paris,Le Havre,plain stage,Robert Jacquinot,FRA,1922
2,1922-06-27,364,Le Havre,Cherbourg,plain stage,Romain Bellenger,FRA,1922
3,1922-06-29,405,Cherbourg,Brest,plain stage,Robert Jacquinot,FRA,1922
4,1922-07-01,412,Brest,Les Sables d'Olonne,plain stage,Philippe Thys,BEL,1922
5,1922-07-03,482,Les Sables d'Olonne,Bayonne,plain stage,Jean Alavoine,FRA,1922
6,1922-07-05,326,Bayonne,Luchon,stage with mountain(s),Jean Alavoine,FRA,1922
7,1922-07-07,323,Luchon,Perpignan,stage with mountain(s),Jean Alavoine,FRA,1922
8,1922-07-09,411,Perpignan,Toulon,plain stage,Philippe Thys,BEL,1922
9,1922-07-11,284,Toulon,Nice,stage with mountain(s),Philippe Thys,BEL,1922
10,1922-07-13,274,Nice,Briançon,stage with mountain(s),Philippe Thys,BEL,1922
11,1922-07-15,260,Briançon,Geneva,stage with mountain(s),Emile Masson},BEL,1922
12,1922-07-17,371,Geneva,Strasbourg,plain stage,Emile Masson,BEL,1922
13,1922-07-19,300,Strasbourg,Metz,plain stage,Federico Gay,ITA,1922
14,1922-07-21,433,Metz,Dunkerque,plain stage,Félix Sellier,BEL,1922
15,1922-07-23,340,Dunkerque,Paris,plain stage,Philippe Thys,BEL,1922
1,1921-06-26,388,Paris,Le Havre,plain stage,Louis Mottiat,BEL,1921
2,1921-06-28,364,Le Havre,Cherbourg,plain stage,Romain Bellenger,FRA,1921
3,1921-06-30,405,Cherbourg,Brest,plain stage,Leon Scieur,BEL,1921
4,1921-07-02,412,Brest,Les Sables-d'Olonne,plain stage,Louis Mottiat,BEL,1921
5,1921-07-04,482,Les Sables-d'Olonne,Bayonne,plain stage,Louis Mottiat,BEL,1921
6,1921-07-06,326,Bayonne,Luchon,stage with mountain(s),Hector Heusghem,BEL,1921
7,1921-07-08,323,Luchon,Perpignan,stage with mountain(s),Louis Mottiat,BEL,1921
8,1921-07-10,411,Perpignan,Toulon,plain stage,Luigi Lucotti,ITA,1921
9,1921-07-12,272,Toulon,Nice,stage with mountain(s),Firmin Lambot,BEL,1921
10,1921-07-14,333,Nice,Grenoble,stage with mountain(s),Leon Scieur,BEL,1921
11,1921-07-16,325,Grenoble,Geneva,stage with mountain(s),Félix Goethals,FRA,1921
12,1921-07-18,371,Geneva,Strasbourg,plain stage,Honoré Barthélemy,FRA,1921
13,1921-07-20,300,Strasbourg,Metz,plain stage,Félix Sellier,BEL,1921
14,1921-07-22,433,Metz,Dunkerque,plain stage,Félix Goethals,FRA,1921
15,1921-07-24,340,Dunkerque,Paris,plain stage,Félix Goethals,FRA,1921
1,1920-06-27,388,Paris,Le Havre,plain stage,Louis Mottiat,BEL,1920
2,1920-06-29,364,Le Havre,Cherbourg,plain stage,Philippe Thys,BEL,1920
3,1920-07-01,405,Cherbourg,Brest,plain stage,Henri Pélissier,FRA,1920
4,1920-07-03,412,Brest,Les Sables d'Olonne,plain stage,Henri Pélissier,FRA,1920
5,1920-07-05,482,Les Sables d'Olonne,Bayonne,plain stage,Firmin Lambot,BEL,1920
6,1920-07-07,326,Bayonne,Luchon,stage with mountain,Firmin Lambot,BEL,1920
7,1920-07-09,323,Luchon,Perpignan,stage with mountain,Jean Rossius,BEL,1920
8,1920-07-11,325,Perpignan,Aix-en-Provence,plain stage,Louis Heusghem,BEL,1920
9,1920-07-14,356,Aix-en-Provence,Nice,stage with mountain,Philippe Thys,BEL,1920
10,1920-07-16,333,Nice,Grenoble,stage with mountain,Hector Heusghem,BEL,1920
11,1920-07-18,362,Grenoble,Gex,stage with mountain,Léon Scieur,BEL,1920
12,1920-07-20,354,Gex,Strasbourg,plain stage,Philippe Thys,BEL,1920
13,1920-07-22,300,Strasbourg,Metz,plain stage,Philippe Thys,BEL,1920
14,1920-07-24,433,Metz,Dunkerque,plain stage,Félix Goethals,FRA,1920
15,1920-07-27,340,Dunkerque,Paris,plain stage,Jean Rossius,BEL,1920
1,1919-06-29,388,Paris,Le Havre,plain stage,Jean Rossius,BEL,1919
2,1919-07-01,364,Le Havre,Cherbourg,plain stage,Henri Pélissier,FRA,1919
3,1919-07-03,405,Cherbourg,Brest,plain stage,Francis Pélissier,FRA,1919
4,1919-07-05,412,Brest,Les Sables-d'Olonne,plain stage,Jean Alavoine,FRA,1919
5,1919-07-07,482,Les Sables-d'Olonne,Bayonne,plain stage,Jean Alavoine,FRA,1919
6,1919-07-09,326,Bayonne,Luchon,stage with mountain,Honore Barthelemy,FRA,1919
7,1919-07-11,323,Luchon,Perpignan,stage with mountain,Jean Alavoine,FRA,1919
8,1919-07-13,370,Perpignan,Marseille,plain stage,Jean Alavoine,FRA,1919
9,1919-07-15,338,Marseille,Nice,stage with mountain,Honoré Barthélemy,FRA,1919
10,1919-07-17,333,Nice,Grenoble,stage with mountain,Honoré Barthélemy,FRA,1919
11,1919-07-19,325,Grenoble,Geneva,stage with mountain,Honoré Barthélemy,FRA,1919
12,1919-07-21,371,Geneva,Strasbourg,stage with mountain,Luigi Lucotti,ITA,1919
13,1919-07-23,315,Strasbourg,Metz,plain stage,Luigi Lucotti,ITA,1919
14,1919-07-25,468,Metz,Dunkerque,plain stage,Firmin Lambot,BEL,1919
15,1919-07-27,340,Dunkerque,Paris,plain stage,Jean Alavoine,FRA,1919
1,1914-06-28,388,Paris,Le Havre,plain stage,Philippe Thys,BEL,1914
2,1914-06-30,364,Le Havre,Cherbourg,plain stage,Jean Rossius,BEL,1914
3,1914-07-02,405,Cherbourg,Brest,plain stage,Emile Engel,FRA,1914
4,1914-07-04,470,Brest,La Rochelle,plain stage,Oscar Egg,SUI,1914
5,1914-07-06,376,La Rochelle,Bayonne,plain stage,Oscar Egg,SUI,1914
6,1914-07-08,326,Bayonne,Luchon,stage with mountain(s),Firmin Lambot,BEL,1914
7,1914-07-10,323,Luchon,Perpignan,stage with mountain(s),Jean Alavoine,FRA,1914
8,1914-07-12,370,Perpignan,Marseille,plain stage,Octave Lapize,FRA,1914
9,1914-07-14,338,Marseille,Nice,stage with mountain(s),Jean Rossius,BEL,1914
10,1914-07-16,323,Nice,Grenoble,stage with mountain(s),Henri Pélissier,FRA,1914
11,1914-07-18,325,Grenoble,Geneva,stage with mountain(s),Gustave Garrigou,FRA,1914
12,1914-07-20,325,Geneva,Belfort,stage with mountain(s),Henri Pélissier,FRA,1914
13,1914-07-22,325,Belfort,Longwy,stage with mountain(s),François Faber,LUX,1914
14,1914-07-24,390,Longwy,Dunkerque,plain stage,François Faber,LUX,1914
15,1914-07-26,340,Dunkerque,Paris,plain stage,Henri Pélissier,FRA,1914
1,1913-06-29,388,Paris,Le Havre,plain stage,Giovanni Micheletto,ITA,1913
2,1913-07-01,364,Le Havre,Cherbourg,plain stage,Jules Masselis,BEL,1913
3,1913-07-03,405,Cherbourg,Brest,plain stage,Henri Pelissier,FRA,1913
4,1913-07-05,470,Brest,La Rochelle,plain stage,Marcel Buysse,BEL,1913
5,1913-07-07,379,La Rochelle,Bayonne,plain stage,Henri Van Lerberghe,BEL,1913
6,1913-07-09,326,Bayonne,Luchon,stage with mountain(s),Philippe Thys,BEL,1913
7,1913-07-11,324,Luchon,Perpignan,stage with mountain(s),Marcel Buysse,BEL,1913
8,1913-07-13,325,Perpignan,Aix-en-Provence,plain stage,Gustave Garrigou,FRA,1913
9,1913-07-15,356,Aix-en-Provence,Nice,stage with mountain(s),Firmin Lambot,BEL,1913
10,1913-07-17,333,Nice,Grenoble,stage with mountain(s),Francois Faber,LUX,1913
11,1913-07-19,325,Grenoble,Geneva,stage with mountain(s),Marcel Buysse,BEL,1913
12,1913-07-21,335,Geneva,Belfort,stage with mountain(s),Marcel Buysse,BEL,1913
13,1913-07-23,325,Belfort,Longwy,stage with mountain(s),François Faber,LUX,1913
14,1913-07-25,393,Longwy,Dunkerque,plain stage,Marcel Buysse,BEL,1913
15,1913-07-27,340,Dunkerque,Paris,plain stage,Marcel Buysse,BEL,1913
1,1912-06-30,351,Paris,Dunkerque,plain stage,Charles Crupelandt,FRA,1912
2,1912-07-02,388,Dunkerque,Longwy,plain stage,Odile Defraye,BEL,1912
3,1912-07-04,331,Longwy,Belfort,stage with mountain(s),Eugène Christophe,FRA,1912
4,1912-07-06,344,Belfort,Chamonix,stage with mountain(s),Eugène Christophe,FRA,1912
